Series Name	Series Code	Country Name	Country Code	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cambodia	KHM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cameroon	CMR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Canada	CAN	97.9	97.8	97.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cayman Islands	CYM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Central African Republic	CAF	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Chad	TCD	24.3	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Channel Islands	CHI	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Chile	CHL	99.7	99.7	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	China	CHN	99.9	99.9	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Colombia	COL	99	95.9	99.3
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Comoros	COM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Congo, Dem. Rep.	COD	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Congo, Rep.	COG	91.2	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Costa Rica	CRI	90	98.8	98.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cote d'Ivoire	CIV	..	73.6	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Croatia	HRV	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cuba	CUB	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Curacao	CUW	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cyprus	CYP	97.1	95.6	96
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Czechia	CZE	..	..	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Denmark	DNK	95.4	94.4	95.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Djibouti	DJI	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Dominica	DMA	100	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Dominican Republic	DOM	99.6	99.8	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Ecuador	ECU	94.2	94.1	95.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Egypt, Arab Rep.	EGY	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	El Salvador	SLV	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Equatorial Guinea	GNQ	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Eritrea	ERI	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Estonia	EST	99.7	99.7	99.5
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Eswatini	SWZ	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Ethiopia	ETH	..	27.7	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Faroe Islands	FRO	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Fiji	FJI	99.9	99.8	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Finland	FIN	99.7	99.6	99.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	France	FRA	97.7	97.4	98
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	French Polynesia	PYF	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Gabon	GAB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Gambia, The	GMB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Georgia	GEO	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Germany	DEU	97.1	96.2	97.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Ghana	GHA	..	..	78.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Gibraltar	GIB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Greece	GRC	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Greenland	GRL	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Grenada	GRD	99	99.3	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Guam	GUM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Guatemala	GTM	65.5	69.8	69.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Guinea	GIN	..	62.7	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Guinea-Bissau	GNB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Guyana	GUY	95.8	94.3	96.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Haiti	HTI	..	..	41.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Honduras	HND	72	79	74
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Hong Kong SAR, China	HKG	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Hungary	HUN	99.6	99.7	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Iceland	ISL	98.2	97.9	98
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	India	IND	..	81.4	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Indonesia	IDN	..	92.6	90.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Iran, Islamic Rep.	IRN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Iraq	IRQ	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Ireland	IRL	99.7	99.7	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Isle of Man	IMN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Israel	ISR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Italy	ITA	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Jamaica	JAM	99.7	99.7	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Japan	JPN	99.9	99.8	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Jordan	JOR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Kazakhstan	KAZ	99.4	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Kenya	KEN	..	70.2	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Kiribati	KIR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Korea, Dem. People's Rep.	PRK	..	..	99.5
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Korea, Rep.	KOR	100	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Kosovo	XKX	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Kuwait	KWT	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Kyrgyz Republic	KGZ	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Lao PDR	LAO	..	..	64.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Latvia	LVA	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Lebanon	LBN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Lesotho	LSO	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Liberia	LBR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Libya	LBY	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Liechtenstein	LIE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Lithuania	LTU	100	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Luxembourg	LUX	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Macao SAR, China	MAC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Madagascar	MDG	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Malawi	MWI	..	89.8	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Malaysia	MYS	99.4	99.5	99.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Maldives	MDV	..	..	99.5
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Mali	MLI	43.7	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Malta	MLT	99.8	99.8	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Marshall Islands	MHL	..	..	92.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Mauritania	MRT	69.3	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Mauritius	MUS	99.8	99.7	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Mexico	MEX	97.7	98	96.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Micronesia, Fed. Sts.	FSM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Moldova	MDA	99.7	99.7	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Monaco	MCO	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Mongolia	MNG	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Montenegro	MNE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Morocco	MAR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Mozambique	MOZ	73	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Myanmar	MMR	..	60.2	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Namibia	NAM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Nauru	NRU	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Nepal	NPL	..	58	58
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Netherlands	NLD	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	New Caledonia	NCL	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	New Zealand	NZL	96.3	96.5	96.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Nicaragua	NIC	94	94.1	94.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Niger	NER	39.7	39.1	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Nigeria	NGA	..	..	43
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	North Macedonia	MKD	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Northern Mariana Islands	MNP	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Norway	NOR	99.1	99.1	99.2
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Oman	OMN	98.7	98.7	98.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Pakistan	PAK	59	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Palau	PLW	100	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Panama	PAN	96.3	94.6	94.2
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Papua New Guinea	PNG	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Paraguay	PRY	96.3	95.5	97.3
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Peru	PER	91.6	92.4	93.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Philippines	PHL	..	..	84.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Poland	POL	99.9	99.8	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Portugal	PRT	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Puerto Rico	PRI	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Qatar	QAT	99.9	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Romania	ROU	94.3	95	93.5
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Russian Federation	RUS	99.7	99.7	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Rwanda	RWA	90.7	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Samoa	WSM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	San Marino	SMR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sao Tome and Principe	STP	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Saudi Arabia	SAU	98	98	99.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Senegal	SEN	53.2	58.6	68.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Serbia	SRB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Seychelles	SYC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sierra Leone	SLE	..	..	81.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Singapore	SGP	99.7	99.7	99.6
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sint Maarten (Dutch part)	SXM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Slovak Republic	SVK	97	98.1	98.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Slovenia	SVN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Solomon Islands	SLB	86.2	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Somalia	SOM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	South Africa	ZAF	..	96.7	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	South Sudan	SSD	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Spain	ESP	99.9	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sri Lanka	LKA	..	99.5	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	St. Kitts and Nevis	KNA	100	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	St. Lucia	LCA	99.1	..	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	St. Martin (French part)	MAF	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	St. Vincent and the Grenadines	VCT	98.7	98.6	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sudan	SDN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Suriname	SUR	90	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sweden	SWE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Switzerland	CHE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Syrian Arab Republic	SYR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Tajikistan	TJK	98	..	94.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Tanzania	TZA	..	63.5	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Thailand	THA	..	99.1	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Timor-Leste	TLS	..	56.7	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Togo	TGO	..	..	69.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Tonga	TON	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Trinidad and Tobago	TTO	100	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Tunisia	TUN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Turkiye	TUR	99	..	98
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Turkmenistan	TKM	..	100	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Turks and Caicos Islands	TCA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Tuvalu	TUV	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Uganda	UGA	..	74.2	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Ukraine	UKR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	United Arab Emirates	ARE	99.9	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	United Kingdom	GBR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	United States	USA	99.1	99.1	99.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Uruguay	URY	99.9	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Uzbekistan	UZB	100	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Vanuatu	VUT	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Venezuela, RB	VEN	99.3	99.3	99.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Viet Nam	VNM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Virgin Islands (U.S.)	VIR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	West Bank and Gaza	PSE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Yemen, Rep.	YEM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Zambia	ZMB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Zimbabwe	ZWE	78.1	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Africa Eastern and Southern	AFE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Africa Western and Central	AFW	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Arab World	ARB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Caribbean small states	CSS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Central Europe and the Baltics	CEB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Early-demographic dividend	EAR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	East Asia & Pacific	EAS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	East Asia & Pacific (excluding high income)	EAP	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	East Asia & Pacific (IDA & IBRD countries)	TEA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Euro area	EMU	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Europe & Central Asia	ECS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Europe & Central Asia (excluding high income)	ECA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Europe & Central Asia (IDA & IBRD countries)	TEC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	European Union	EUU	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Fragile and conflict affected situations	FCS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Heavily indebted poor countries (HIPC)	HPC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	High income	HIC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	IBRD only	IBD	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	IDA & IBRD total	IBT	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	IDA blend	IDB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	IDA only	IDX	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	IDA total	IDA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Late-demographic dividend	LTE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Latin America & Caribbean	LCN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Latin America & Caribbean (excluding high income)	LAC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Latin America & the Caribbean (IDA & IBRD countries)	TLA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Least developed countries: UN classification	LDC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Low & middle income	LMY	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Low income	LIC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Lower middle income	LMC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Middle East & North Africa	MEA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Middle East & North Africa (excluding high income)	MNA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Middle East & North Africa (IDA & IBRD countries)	TMN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Middle income	MIC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	North America	NAC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Not classified	INX	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	OECD members	OED	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Other small states	OSS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Pacific island small states	PSS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Post-demographic dividend	PST	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Pre-demographic dividend	PRE	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Small states	SST	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	South Asia	SAS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	South Asia (IDA & IBRD)	TSA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sub-Saharan Africa	SSF	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sub-Saharan Africa (excluding high income)	SSA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Sub-Saharan Africa (IDA & IBRD countries)	TSS	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Upper middle income	UMC	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	World	WLD	..	..	..
GDP per capita (current US$)	NY.GDP.PCAP.CD	Afghanistan	AFG	566.881129708434	523.053011984748	526.140801025756
GDP per capita (current US$)	NY.GDP.PCAP.CD	Albania	ALB	3952.80357364813	4124.05538986272	4531.03220675893
GDP per capita (current US$)	NY.GDP.PCAP.CD	Algeria	DZA	4741.49977033558	4481.08196153066	4615.86874364885
GDP per capita (current US$)	NY.GDP.PCAP.CD	American Samoa	ASM	13101.5418159165	13300.8246114811	12372.8847825647
GDP per capita (current US$)	NY.GDP.PCAP.CD	Andorra	AND	38885.5303222983	39931.2169800216	40632.2315521995
